日時,台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
2018/04/03 14:53:36,59,2201,3,3,5,1493,1/733.7,1/733.7,440.2,366.8,0
2018/04/03 14:53:36,60,1100,3,0,0,98,1/366.7,1/0.0,0.0,366.7,0
2018/04/03 14:53:36,61,1122,4,0,2,986,1/280.5,1/0.0,561.0,280.5,0
2018/04/03 14:53:36,62,2439,8,0,5,1011,1/304.9,1/0.0,487.8,304.9,0
